date,rf,mkt_rf,smb,hml,mom
2019-07-03,0.00000635,0.00325996,-0.00223824,-0.00463430,0.00990378
2019-07-04,0.00000807,0.00282568,-0.00398439,0.00357970,-0.00096285
2019-07-07,0.00002460,-0.00230391,0.00568434,0.00406422,-0.00126908
2019-07-08,0.00000575,-0.00633421,-0.00072911,-0.00283991,-0.00534727
2019-07-09,0.00000698,0.00348719,0.00002577,0.00505981,0.01089954
2019-07-10,0.00000706,0.00223902,-0.00111294,0.00029810,0.00598902
2019-07-11,0.00000715,-0.00024746,0.00171189,-0.00110141,0.00778209
2019-07-14,0.00002531,0.00419700,0.00107121,-0.00756166,0.00343455
2019-07-15,0.00000750,-0.00295639,0.00167260,-0.00680035,0.00284940
2019-07-16,0.00000760,-0.00183435,0.00112560,-0.00047824,-0.00270380
2019-07-17,0.00000769,-0.00966575,0.00159712,0.00568386,0.00472224
2019-07-18,0.00000779,-0.00913750,0.00062362,-0.00279088,0.00024976
2019-07-21,0.00001974,0.00112477,-0.00160841,-0.00021032,0.00606212
2019-07-22,0.00000822,0.00252391,0.00014652,0.00198981,0.00775368
2019-07-23,0.00000834,0.00893486,-0.00255807,0.00821732,-0.00361978
2019-07-24,0.00000704,0.01046892,-0.00852391,-0.00574698,0.00194079
2019-07-25,0.00000857,0.00007214,0.00458718,0.00304597,0.00116405
2019-07-28,0.00002175,0.00861988,0.00453789,0.00249092,0.00323351
2019-07-29,0.00000758,-0.00415181,-0.00324583,0.00580762,-0.00074745
2019-07-30,0.00000616,-0.00395716,-0.00417810,0.00284677,0.01026544
2019-07-31,0.00000781,0.00870897,-0.00009757,-0.00179858,0.00213865
2019-08-01,0.00000635,0.00257721,-0.00466492,0.00281930,0.00734885
2019-08-04,0.00002420,0.00009463,0.00155481,0.01428064,0.01900669
2019-08-05,0.00000807,-0.01943320,-0.00290771,0.00494868,0.01468467
2019-08-06,0.00000807,-0.00091799,-0.00368423,-0.00236593,0.00450033
2019-08-07,0.00000807,-0.01016776,0.00190482,-0.00117974,0.01484164
2019-08-08,0.00000807,0.01967110,-0.00984678,-0.00747891,0.00172344
2019-08-12,0.00002697,-0.00551002,0.00305569,0.00482522,0.01171888
2019-08-13,0.00000706,0.00537609,-0.00289453,0.00634252,0.00217117
2019-08-14,0.00000595,-0.02467426,0.00896164,0.00790575,0.01553165
2019-08-15,0.00000723,-0.01074614,-0.00971937,-0.00021500,-0.00295515
2019-08-18,0.00001830,0.00421658,0.01129785,-0.00444119,0.00205225
2019-08-19,0.00000760,0.01337683,0.00621889,-0.00010837,0.00359449
2019-08-20,0.00000641,0.00383380,-0.00020458,0.00646567,0.00511764
2019-08-21,0.00000650,0.00720623,0.00023458,0.01234811,-0.00280450
2019-08-22,0.00000526,0.00205216,0.00114903,-0.00429925,0.00457634
2019-08-25,0.00001600,-0.02988410,0.00897952,-0.00267573,0.00327810
2019-08-26,0.00000695,0.00881289,-0.00068895,-0.00604269,-0.00112566
2019-08-27,0.00000704,-0.00062756,0.00268328,-0.00913579,0.00531244
2019-08-28,0.00000429,-0.00591268,-0.00045378,0.00185053,0.00513060
2019-08-29,0.00000580,0.01409987,-0.00130070,0.00110920,-0.00447880
2019-09-01,0.00001765,0.00031011,0.00356921,0.00171631,0.00122263
2019-09-02,0.00000462,-0.00033221,0.00954892,-0.00082770,-0.00346747
2019-09-03,0.00000156,-0.00681914,0.00663613,-0.00795774,-0.00002057
2019-09-04,0.00000635,0.00802313,-0.00208970,-0.00011622,0.00380088
